Timestamp,File Name,File Size(Byte),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
128,117_0.jpg,3168,2.0503,46.50399,2.5344,51.08869,2.1546455040000004e-06,0.0002197273575887084
129,117_1.jpg,2641,2.46249,42.95406,2.1128,47.52936,1.7962180480000003e-06,0.00020559250281453132
130,117_2.jpg,75064,6.70425,17.53913,60.0512,84.29458,5.1053128192000005e-05,0.00011021159055382013
131,117_3.jpg,33543,4.99015,39.21214,26.8344,71.03669,2.2813533504000004e-05,0.00020012248442657292
132,117_4.jpg,132923,14.35146,32.44145,106.3384,153.1313,9.0404654144e-05,0.0002117926693610847
133,117_5.jpg,169204,17.27756,47.4234,135.3632,200.06416,0.000115080378112,0.000292464866546914
134,117_6.jpg,47007,9.20783,37.10492,37.6056,83.91835,3.1970776896000007e-05,0.00020962967553101477
135,117_7.jpg,149733,10.73251,42.59601,119.7864,173.11491,0.00010183760582400001,0.00024123428821600973
136,117_8.jpg,14250,2.83531,37.54441,11.4,51.77971,9.691824000000002e-06,0.00018290253871940075
137,117_9.jpg,7572,2.5793,21.24807,6.0576,29.88497,5.1499292160000005e-06,0.00010833752284608781
138,118_0.jpg,5244,2.48661,14.31274,4.1952,20.99454,3.5665912320000003e-06,7.667767323590814e-05
139,118_1.jpg,1103,1.78553,25.66214,0.8824,28.33006,7.501811840000001e-07,0.00012464623759314417
140,118_10.jpg,12576,8.77795,45.71286,10.0608,64.55161,8.553289728000002e-06,0.00024647019786462187
141,118_2.jpg,135288,14.41379,24.31116,108.2304,146.95535,9.201315686400001e-05,0.0001754481675673276
142,118_3.jpg,13551,2.77883,94.27858,10.8408,107.89822,9.216414528e-06,0.0004382242459665984
143,118_4.jpg,26945,4.52988,15.78966,21.556,41.87555,1.8326048960000002e-05,9.253549549914896e-05
144,118_5.jpg,130913,10.21751,39.92825,104.7304,154.87616,8.9037596864e-05,0.0002268966141592711
145,118_6.jpg,166666,17.178,42.48539,133.3328,192.99619,0.00011335421324800001,0.0002697716572929174
146,118_7.jpg,8756,2.6758,171.81453,7.0048,181.49513,5.955200768e-06,0.0007870440566051752
147,118_8.jpg,114946,8.96335,27.43129,91.9568,128.35144,7.817799308800001e-05,0.000164950573695451
148,118_9.jpg,51406,4.25746,15.26057,41.1248,60.64283,3.4962659968000004e-05,8.892481679022311e-05
149,119_0.jpg,1390,1.76727,10.57976,1.112,13.45903,9.4537792e-07,5.662091117724776e-05
150,119_1.jpg,1232,1.96639,13.23232,0.9856,16.18432,8.379176960000002e-07,6.946718825399875e-05
151,119_10.jpg,16112,3.80871,33.13466,12.8896,49.83296,1.0958222336000001e-05,0.0001674224659539759
152,119_2.jpg,113063,12.68093,36.32955,90.4504,139.46088,7.689731206400001e-05,0.0002217824011147022
153,119_3.jpg,18118,5.66641,16.50316,14.4944,36.66397,1.2322559104e-05,0.00010086948720477521
154,119_4.jpg,20845,3.40402,24.84058,16.676,44.9206,1.4177268160000002e-05,0.00012823626433759928
155,119_5.jpg,122683,9.04612,27.00489,98.1464,134.19741,8.3440143424e-05,0.00016340260354839265
156,119_6.jpg,170309,16.32929,40.3865,136.2472,192.96298,0.00011583191955200002,0.00025649326644092797
157,119_7.jpg,1115,1.69506,10.56324,0.892,13.1503,7.583427200000001e-07,5.622120913416147e-05
158,119_8.jpg,119131,9.17289,27.63197,95.3048,132.10965,8.102432876800001e-05,0.0001667984976314008
159,119_9.jpg,37626,3.73637,15.48166,30.1008,49.31882,2.5590496128000005e-05,8.757334971800446e-05
160,120_0.jpg,83389,7.63107,34.87223,66.7112,109.2145,5.671519379200001e-05,0.00019246887058913708
161,120_1.jpg,87549,7.55134,40.84456,70.0392,118.43509,5.9544526272e-05,0.00021901382330097256
162,120_2.jpg,3316,3.04483,17.31682,2.6528,23.01445,2.2553044480000003e-06,9.272517052479088e-05
163,120_3.jpg,108281,8.73503,28.04952,86.6248,123.40935,7.3644939968e-05,0.00016670701855383811
164,120_4.jpg,73772,9.23719,43.29424,59.0176,111.54902,5.017440281600001e-05,0.00023764355244524775
165,120_5.jpg,159402,11.90393,38.04456,127.5216,177.47009,0.00010841376345600002,0.0002260079755462706
166,120_6.jpg,35724,4.13881,17.48704,28.5792,50.20505,2.4296892672e-05,9.842011177577078e-05
167,120_7.jpg,18785,3.8943,33.28103,15.028,52.20333,1.277620448e-05,0.0001684674217928201
168,121_0.jpg,101653,8.22681,37.12285,81.3224,126.67206,6.913705158400001e-05,0.00020529114985242484
169,121_1.jpg,87615,12.14383,26.41333,70.092,108.64916,5.958941472000001e-05,0.00017469229308143258
170,121_2.jpg,108750,9.40784,27.07955,87.0,123.4874,7.396392e-05,0.00016536842513382435
171,121_3.jpg,84314,8.69523,37.36282,67.4512,113.50925,5.7344312192000006e-05,0.00020848229056335985
172,121_4.jpg,125459,9.84455,30.39686,100.3672,140.60861,8.532817875200001e-05,0.00018227949338965116
173,121_5.jpg,42033,6.16468,14.638,33.6264,54.42909,2.8587820224000003e-05,9.471193565651774e-05
174,121_6.jpg,16037,3.52512,35.73843,12.8296,52.09314,1.0907212736000002e-05,0.00017787441363520919
175,122_0.jpg,11338,4.04589,33.35293,9.0704,46.46922,7.711291264e-06,0.00016947419090121982
176,122_1.jpg,106034,8.77311,35.15163,84.8272,128.75194,7.211669235200002e-05,0.000198872173172608
177,122_2.jpg,46651,5.48431,16.83794,37.3208,59.64305,3.1728651328e-05,0.00010155725740641354
178,122_3.jpg,78664,8.06193,51.08229,62.9312,122.07542,5.350158899200001e-05,0.00026743288577236237
179,122_4.jpg,111096,15.75105,53.35718,88.8768,157.98503,7.555950028800002e-05,0.0003123187736619264
180,122_5.jpg,159785,14.34685,38.87113,127.828,181.04598,0.00010867425248000001,0.00024073637344315646
181,122_6.jpg,29535,3.83299,40.60059,23.628,68.06158,2.008758048e-05,0.00020116440487764775
182,122_7.jpg,16177,3.79619,15.23679,12.9416,31.97458,1.1002430656000001e-05,8.673976343162357e-05
183,123_0.jpg,1050,6.77424,13.39973,0.84,21.01397,7.141344000000001e-07,9.187970909662544e-05
184,123_1.jpg,19764,4.42726,49.95176,15.8112,70.19022,1.3442049792000002e-05,0.0002459665961973369
185,123_2.jpg,107871,8.63629,28.47664,86.2968,123.40974,7.336608748800001e-05,0.00016818635789118706
186,123_3.jpg,47295,5.79135,43.18343,37.836,86.81078,3.216665376e-05,0.00022162158639654517
187,123_4.jpg,141970,12.21233,54.59006,113.576,180.3784,9.655777216e-05,0.0003019314333807677
188,123_5.jpg,122559,15.32414,39.00601,98.0472,152.37735,8.3355807552e-05,0.00024574645401760934
189,123_6.jpg,819,2.11329,12.40731,0.6552,15.1758,5.57024832e-07,6.641239036507903e-05
190,123_7.jpg,153670,12.22978,36.71382,122.936,171.8796,0.00010451526976000001,0.0002214811068885028
191,123_8.jpg,48098,4.7655,37.97702,38.4784,81.22092,3.2712796544000004e-05,0.00019354650456942618
192,123_9.jpg,16069,3.75187,17.01478,12.8552,33.62185,1.0928976832000002e-05,9.454961897730827e-05
193,124_0.jpg,30883,5.1603,38.97872,24.7064,68.84542,2.1004393024000004e-05,0.00019983747473061082
194,124_1.jpg,119738,8.96093,28.04584,95.7904,132.79717,8.1437166464e-05,0.00016770809237696228
195,124_2.jpg,47504,12.32688,47.77962,38.0032,98.1097,3.230880051200001e-05,0.00027176776562929154
196,124_3.jpg,162559,13.24728,43.69692,130.0472,186.9914,0.00011056092755200001,0.00025752223981991414
197,124_4.jpg,147041,18.30348,52.99087,117.6328,188.92715,0.00010000670124800001,0.00032216679245345293
198,124_5.jpg,106505,10.52563,34.80514,85.204,130.53477,7.243703264000001e-05,0.0002052060625001788
199,124_6.jpg,58786,7.68969,48.08659,47.0288,102.80508,3.998200460800001e-05,0.000252260977236554
200,124_7.jpg,16346,4.7832,48.90517,13.0768,66.76517,1.1117372288e-05,0.0002428553740788251
201,125_0.jpg,40288,4.83582,41.98507,32.2304,79.05128,2.7400996864000003e-05,0.0002119187103245407
202,125_1.jpg,137368,11.70637,51.47814,109.8944,173.07891,9.342782310400001e-05,0.000285633567994833
203,125_2.jpg,42992,6.56676,26.8971,34.3936,67.85746,2.9240062976000006e-05,0.0001517479752384126
204,125_3.jpg,161443,13.01773,34.21916,129.1544,176.39128,0.00010980190470400002,0.00021379270880781114
205,125_4.jpg,125175,12.1333,50.50904,100.14,162.78234,8.513502240000002e-05,0.00028319123038612307
206,125_5.jpg,12525,3.73752,50.42026,10.02,64.17778,8.5186032e-06,0.00024496998210772874
207,125_6.jpg,100130,9.39257,30.75815,80.104,120.25472,6.810121664e-05,0.00018187094529941678
208,125_7.jpg,145916,13.06016,40.91783,116.7328,170.71079,9.9241557248e-05,0.0002441600370239466
209,125_8.jpg,3803,2.42732,14.4965,3.0424,19.96622,2.586526784e-06,7.72384438201785e-05
210,126_0.jpg,1140,2.33814,20.9433,0.912,24.19344,7.753459200000001e-07,0.00010587822734192013
211,126_1.jpg,8295,3.49157,18.48168,6.636,28.60925,5.641661760000001e-06,9.998510694503784e-05
212,126_2.jpg,157769,12.98778,56.79852,126.2152,196.00149,0.00010730311443200001,0.00031537329675070943
213,126_3.jpg,41273,6.19283,18.71761,33.0184,57.92884,2.8070922944000004e-05,0.00011321656361185014
214,126_4.jpg,156050,11.58273,32.47577,124.84,168.8985,0.00010613397440000001,0.00019947471757307647
215,126_5.jpg,143741,14.17312,59.26393,114.9928,188.42985,9.776227884800002e-05,0.0003318192311629653
216,126_6.jpg,11506,3.63065,53.39581,9.2048,66.23126,7.825552768000002e-06,0.0002578928109508008
217,126_7.jpg,103797,10.55351,30.60582,83.0376,124.19693,7.059524601600001e-05,0.00018641453271359205
218,126_8.jpg,155019,13.42073,46.64838,124.0152,184.08431,0.00010543276243200001,0.0002715993320249021
219,127_0.jpg,10612,3.38821,15.75888,8.4896,27.63669,7.217518336e-06,8.725380540639162e-05
220,127_1.jpg,102594,9.99188,75.7442,82.0752,167.81128,6.977705203200001e-05,0.0003872238977074623
221,127_2.jpg,37427,5.70162,55.72448,29.9416,91.3677,2.5455150656e-05,0.00027771227784715593
222,127_3.jpg,159710,20.4836,39.10419,127.768,187.35578,0.00010862324288,0.00026943104567006234
223,127_4.jpg,168743,21.16653,57.04231,134.9944,213.20324,0.000114766839104,0.00035331517398022117
224,127_5.jpg,13518,3.85336,49.76179,10.8144,64.42955,9.193970304000001e-06,0.00024252551742009817
225,127_6.jpg,101890,15.09134,64.072,81.512,160.67534,6.929824192000001e-05,0.00035761500528231266
226,127_7.jpg,163184,13.61122,26.21732,130.5472,170.37574,0.00011098600755200001,0.0001804195936217904
227,128_0.jpg,3926,2.3958,31.16534,3.1408,36.70194,2.6701825280000004e-06,0.00015218621432967484
228,128_1.jpg,98153,8.64354,40.75327,78.5224,127.91921,6.675660358400001e-05,0.00022352277121394872
229,128_2.jpg,86539,8.49195,50.55336,69.2312,128.27651,5.885759699200001e-05,0.0002669872983995825
