Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY)
1685003315.102124,193.jpg,526281,2016x2016,1,10,0.31223,526.281,320.46294,2.6862332051739503e-05,0.0009959733427047728
1685003316.4826722,194.jpg,546749,2016x2016,1,9,0.33054,546.749,311.35798,2.7884459757556156e-05,0.0009677042407989502
1685003317.8369422,195.jpg,577235,2016x2016,1,8,0.3542,577.235,326.55001,2.937915476025391e-05,0.0010148724613189696
1685003319.2112021,196.jpg,588063,2016x2016,1,8,0.37114,588.063,311.95784,2.9987583268194583e-05,0.0009695666896820069
1685003320.5891142,197.jpg,530375,2016x2016,1,8,0.33885,530.375,314.02493,2.7073335167694095e-05,0.0009759845878601074
1685003321.961542,198.jpg,464899,2016x2016,1,8,0.30517,464.899,300.38095,2.372995580507202e-05,0.0009336227586746217
1685003323.311837,199.jpg,470086,2016x2016,1,9,0.26851,470.086,300.174,2.3950931353405764e-05,0.0009329802286148071
1685003324.6537678,200.jpg,552648,2016x2016,1,8,0.3343,552.648,304.74186,2.813604565219727e-05,0.000947162525177002
1685003326.001726,201.jpg,639139,2016x2016,1,8,0.38656,639.139,315.50384,3.253506913762207e-05,0.0009805763090133667
1685003327.371228,202.jpg,602757,2016x2016,1,8,0.38314,602.757,319.98801,3.075534288485107e-05,0.000994498780632019
1685003328.754852,203.jpg,658443,2016x2016,1,9,0.40544,658.443,326.29395,3.358778884900513e-05,0.0010140774414062498
1685003330.1407511,204.jpg,504221,2016x2016,1,8,0.34519,504.221,307.11293,2.5756920524823002e-05,0.0009545242319107056
1685003331.5143192,205.jpg,715315,2016x2016,1,8,0.4599,715.315,328.64308,3.642770098223877e-05,0.0010213710458755493
1685003332.899231,206.jpg,572668,2016x2016,1,9,0.38194,572.668,308.84099,2.9183692049993895e-05,0.0009598895059585572
1685003334.260598,207.jpg,542522,2016x2016,1,9,0.34617,542.522,306.09679,2.7636469528710936e-05,0.0009513693204879761
