Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Bin Packing Time(ms),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
127.361556208,216.jpg,399050,1024x1024,2,9,0.45885,1.93137,44.4305,69.55318,319.24,433.22369,0.0002730470561699984,0.000514473704867065
128.374228542,217.jpg,517724,1024x1024,2,8,0.62801,1.61079,46.78941,69.64175,414.1792,530.61036,0.0003534880187485518,0.0005254990849159658
129.394632583,218.jpg,630404,1024x1024,3,9,0.56455,1.37008,75.32789,101.98924,504.3232,681.64033,0.0004299202023254411,0.0007997781942490488
130.4905155,219.jpg,498175,1024x1024,3,9,0.41862,2.16054,78.86904,98.44689,398.54,575.85593,0.0003406595727867309,0.0007997728052295745
131.572994083,220.jpg,510692,1024x1024,3,8,0.43976,1.07529,67.2662,103.05321,408.5536,578.87302,0.00034825009882271654,0.0007682549098182469
132.656353833,221.jpg,548922,1024x1024,3,10,0.47641,2.29083,74.1833,106.589,439.1376,619.90989,0.00037528479744944614,0.0008153430250260979
133.738160542,222.jpg,420048,1024x1024,2,10,0.54222,1.63975,56.3412,73.47066,336.0384,465.85026,0.0002870804560040082,0.0005857764802139252
134.765604875,223.jpg,447580,1024x1024,2,10,0.56694,1.57242,45.64063,145.5626,358.064,549.26722,0.00030574849627672474,0.0008623322877023369
135.880308833,224.jpg,673960,1024x1024,2,11,0.84906,1.96,59.34916,71.76868,539.168,670.28584,0.00046004538048002153,0.0005916596574608237
136.923038792,225.jpg,625057,1024x1024,3,11,0.53597,1.38967,74.36461,99.30085,500.0456,673.71107,0.0004263002057425552,0.0007833281902775169
138.00789875,226.jpg,627856,1024x1024,2,9,0.80857,1.07367,44.28392,68.43173,502.2848,615.00046,0.00042793523430470796,0.0005087614826731384
139.028939708,227.jpg,589560,1024x1024,3,11,0.49063,2.25404,74.06588,103.81896,471.648,649.53284,0.0004028925600267235,0.0008023356269653886
140.130702625,228.jpg,606239,1024x1024,2,11,0.73726,1.91246,50.08928,71.00381,484.9912,606.08429,0.0004139460138852737,0.0005465001651298255
141.168990292,229.jpg,566637,1024x1024,2,11,0.68134,2.01679,50.86937,69.62821,453.3096,573.80718,0.00038710028457257436,0.0005438174885801971
142.197211417,230.jpg,487711,1024x1024,2,11,0.56114,2.00304,51.70312,71.51944,390.1688,513.39136,0.00033340881234455555,0.0005560929659165442
143.224827958,231.jpg,439299,1024x1024,2,10,0.52018,1.82854,46.78271,71.38904,351.4392,469.61095,0.00030033410353871864,0.0005333400809809565
144.239368292,232.jpg,497365,1024x1024,3,10,0.40559,2.25958,58.71641,99.28758,397.892,555.89598,0.00034019286980328974,0.0007127763514049351
145.315390958,233.jpg,574737,1024x1024,2,10,0.69949,1.92671,52.37811,73.10954,459.7896,585.27725,0.0003925327372594424,0.000566296743901819
146.350882833,234.jpg,548820,1024x1024,2,10,0.7033,1.60621,54.80611,73.20165,439.056,567.06376,0.0003746333836034538,0.0005776493500798941
